Date,Open,High,Low,Close
12/2020,0.845,0.986,0.839,0.919
11/2020,0.879,0.979,0.715,0.845
10/2020,0.684,0.882,0.65,0.879
09/2020,0.706,0.729,0.608,0.684
08/2020,0.535,0.789,0.502,0.706
07/2020,0.655,0.712,0.522,0.535
06/2020,0.659,0.954,0.616,0.655
05/2020,0.644,0.747,0.594,0.659
04/2020,0.677,0.79,0.544,0.644
03/2020,1.156,1.271,0.38,0.677
02/2020,1.509,1.685,1.099,1.156
01/2020,1.92,1.949,1.499,1.509
12/2019,1.883,1.925,1.883,1.92
11/2019,1.689,1.967,1.676,1.782
10/2019,1.667,1.862,1.505,1.689
09/2019,1.5,1.911,1.431,1.667
08/2019,2.015,2.061,1.447,1.5
07/2019,2.006,2.149,1.94,2.015
06/2019,2.13,2.179,1.974,2.006
05/2019,2.504,2.577,2.124,2.13
04/2019,2.427,2.617,2.427,2.502
03/2019,2.72,2.77,2.341,2.406
02/2019,2.645,2.741,2.621,2.718
01/2019,2.691,2.796,2.547,2.63
12/2018,3.036,3.05,2.682,2.685
11/2018,3.153,3.251,2.992,2.993
10/2018,3.072,3.263,3.046,3.142
09/2018,2.863,3.115,2.853,3.062
08/2018,2.955,3.014,2.805,2.861
07/2018,2.86,2.991,2.81,2.963
06/2018,2.859,3.006,2.817,2.861
05/2018,2.957,3.127,2.754,2.86
04/2018,2.76,3.036,2.716,2.953
03/2018,2.865,2.936,2.737,2.739
02/2018,2.732,2.956,2.647,2.862
01/2018,2.412,2.753,2.41,2.705
12/2017,2.412,2.503,2.312,2.41
11/2017,2.378,2.434,2.301,2.411
10/2017,2.343,2.481,2.272,2.377
09/2017,2.129,2.358,2.016,2.333
08/2017,2.298,2.321,2.088,2.119
07/2017,2.317,2.397,2.227,2.297
06/2017,2.208,2.309,2.096,2.302
05/2017,2.281,2.423,2.183,2.206
04/2017,2.397,2.406,2.165,2.281
03/2017,2.419,2.632,2.349,2.386
02/2017,2.464,2.52,2.311,2.394
01/2017,2.445,2.556,2.307,2.458
12/2016,2.385,2.641,2.337,2.445
11/2016,1.835,2.417,1.716,2.387
10/2016,1.602,1.876,1.593,1.826
09/2016,1.583,1.748,1.516,1.597
08/2016,1.46,1.636,1.46,1.582
07/2016,1.47,1.622,1.323,1.452
06/2016,1.848,1.857,1.418,1.473
05/2016,1.831,1.891,1.694,1.848
04/2016,1.779,1.942,1.684,1.834
03/2016,1.736,1.999,1.7,1.771
02/2016,1.92,1.969,1.535,1.737
01/2016,2.293,2.295,1.909,1.924
12/2015,2.217,2.355,2.119,2.269
11/2015,2.135,2.375,2.129,2.207
10/2015,2.041,2.185,1.907,2.145
09/2015,2.219,2.305,2.036,2.04
08/2015,2.19,2.293,1.978,2.217
07/2015,2.37,2.473,2.176,2.184
06/2015,2.121,2.503,2.113,2.359
05/2015,2.051,2.359,2.046,2.127
04/2015,1.932,2.107,1.8,2.034
03/2015,2.004,2.262,1.857,1.925
02/2015,1.648,2.16,1.648,1.995
01/2015,2.208,2.21,1.639,1.644
12/2014,2.176,2.347,2.012,2.171
11/2014,2.305,2.399,2.168,2.168
10/2014,2.5,2.508,1.912,2.337
09/2014,2.361,2.655,2.355,2.492
08/2014,2.564,2.59,2.302,2.345
07/2014,2.531,2.691,2.442,2.56
06/2014,2.48,2.704,2.475,2.532
05/2014,2.655,2.696,2.401,2.477
04/2014,2.727,2.811,2.598,2.647
03/2014,2.6,2.819,2.594,2.719
02/2014,2.665,2.793,2.575,2.649
01/2014,3.031,3.044,2.644,2.651
12/2013,2.752,3.037,2.75,3.036
11/2013,2.557,2.95,2.497,2.748
10/2013,2.616,2.76,2.47,2.559
09/2013,2.838,3.008,2.589,2.611
08/2013,2.587,2.939,2.556,2.79
07/2013,2.502,2.758,2.417,2.582
06/2013,2.158,2.667,2.03,2.491
05/2013,1.672,2.234,1.615,2.134
04/2013,1.855,1.89,1.64,1.675
03/2013,1.879,2.089,1.828,1.855
02/2013,1.999,2.062,1.838,1.879
01/2013,1.761,2.037,1.761,1.99
12/2012,1.619,1.845,1.565,1.761
11/2012,1.727,1.783,1.56,1.619
10/2012,1.638,1.857,1.598,1.719
09/2012,1.551,1.89,1.543,1.638
08/2012,1.495,1.864,1.452,1.554
07/2012,1.654,1.66,1.379,1.477
06/2012,1.565,1.726,1.442,1.656
05/2012,1.92,1.968,1.535,1.554
04/2012,2.231,2.308,1.887,1.92
03/2012,1.979,2.383,1.935,2.155
02/2012,1.799,2.069,1.795,1.963
01/2012,1.913,2.105,1.826,1.837
12/2011,2.072,2.177,1.816,1.879
11/2011,2.133,2.153,1.881,2.096
10/2011,1.929,2.414,1.719,2.208
09/2011,2.223,2.28,1.673,1.953
08/2011,2.801,2.858,1.987,2.18
07/2011,3.166,3.224,2.813,2.864
06/2011,3.068,3.213,2.839,3.185
05/2011,3.301,3.331,3.048,3.061
04/2011,3.476,3.62,3.29,3.303
03/2011,3.44,3.6,3.139,3.441
02/2011,3.318,3.861,3.311,3.42
01/2011,3.354,3.478,3.247,3.345
12/2010,2.806,3.565,2.79,3.325
11/2010,2.6,2.964,2.453,2.776
10/2010,2.504,2.723,2.331,2.621
09/2010,2.48,2.854,2.446,2.531
08/2010,2.918,2.965,2.422,2.493
07/2010,2.943,3.132,2.863,2.92
06/2010,3.312,3.418,2.924,2.984
05/2010,3.693,3.71,3.066,3.301
04/2010,3.838,4.001,3.662,3.69
03/2010,3.626,3.907,3.592,3.841
02/2010,3.611,3.833,3.557,3.621
01/2010,3.793,3.907,3.559,3.66